title,release,description,rating,trailer,is_featured,length,poster
"Black Adam",2022-10-21,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",7.2,https://youtu.be/mkomfZHG5q4,1,"2h 5m",https://i.ibb.co/hmRQFdX/image.jpg
"The Infernal Machine",2022-09-23,"Reclusive and controversial author Bruce Cogburn is drawn out of hiding by an obsessive fan, forcing the novelist to confront a past that he thought he could escape, and to account for events set in motion by his bestseller decades earlier. Cogburn's search for who is behind the manipulation and mental torment he encounters leads to an emotional roller-coaster ride full of fear and danger, where things are not always as clear as they seem to be, and where past deeds can have dire consequences.",7,https://youtu.be/q0vrecpxXZU,0,"1h 47m",https://i.ibb.co/gZD7tyv/image.jpg
"White Elephant",2022-09-22,"An ex-marine enforcer must battle his conscience and code of honor when he is forced to do things for the mob.",6.5,https://youtu.be/5zEPU7Ekz00,0,"1h 33m",https://i.ibb.co/rKB0jjQ/image.jpg
"Me Time",2022-08-26,"With his family away, a devoted stay-at-home dad enjoys his first me time in years by joining his hard-partying old friend on a wild birthday adventure.",6,https://youtu.be/Mmq_NVwLN_g,0,"1h 44m",https://i.ibb.co/BzfKVY6/image.jpg
"Bullet Train",2022-08-05,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",7.5,https://youtu.be/0IOsk2Vlc4o,1,"2h 7m",https://i.ibb.co/Km2N2J6/image.jpg
"Minions: The Rise of Gru",2022-07-01,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",7.5,https://youtu.be/HhIl_XJ-OGA,1,"1h 27m",https://i.ibb.co/F3NPkNy/image.jpg
"The Man from Toronto",2022-06-24,"In a case of mistaken identity, the world’s deadliest assassin, known as the Man from Toronto, and a New York City screw-up are forced to team up after being confused for each other at a rental cabin.",6.6,https://youtu.be/urqy8DrcGBs,0,"1h 53m",https://i.ibb.co/hsxvcyJ/image.jpg
"Top Gun: Maverick",2022-05-27,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",8.4,https://youtu.be/qSqVVswa420,1,"2h 11m",https://i.ibb.co/Nytk1sM/image.jpg
"Red Notice",2021-11-05,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",6.8,https://youtu.be/Pj0wz7zu3Ms,1,"1h 58m",https://i.ibb.co/f4Jjd4F/image.jpg
"The Expendables 2",2012-08-08,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",6.3,https://youtu.be/ip_CYHdyUBs,1,"1h 43m",https://i.ibb.co/cbv6YWd/image.jpg
"Harry Potter and the Goblet of Fire",2005-11-18,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",7.8,https://youtu.be/PFWAOnvMd1Q,0,44h,https://i.ibb.co/dGySbZn/image.jpg
"Harry Potter and the Prisoner of Azkaban",2004-05-31,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",8,https://youtu.be/Sp1yQfhwvK4,0,"2h 21m",https://i.ibb.co/yynvn2X/image.jpg
"The Italian Job",2003-09-19,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.",6.8,https://youtu.be/mJgGUnV9i54,0,"1h 50m",https://i.ibb.co/N1tTQsP/image.jpg
"Harry Potter and the Chamber of Secrets",2002-11-15,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",7.7,https://youtu.be/1bq0qff4iF8,0,"2h 41m",https://i.ibb.co/25Xccw9/image.jpg
"Harry Potter and the Philosopher's Stone",2001-11-16,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",7.9,https://youtu.be/Q61YhARNOPg,0,"2h 32m",https://i.ibb.co/TH8Q7p4/image.jpg
